volume	page	line	token_index	tibetan_syllable	latin_source	latin_target	tibetan_role	tibetan_feature	latin_realization	structural_unit	evidence_provenance	source_or_target	independence_class	feature_teaching_status	domain	alignment	confidence
wts_1_34	60	101	4	ཆུང	chun	chuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	60	101	4	ཆུང	chun	chuṅ	pre_coda_structural_unit	ཆུ	chu	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	60	118	4	ཆུང	chun	chuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	60	118	4	ཆུང	chun	chuṅ	pre_coda_structural_unit	ཆུ	chu	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	60	190	4	ཆུང	chun	chuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	60	190	4	ཆུང	chun	chuṅ	pre_coda_structural_unit	ཆུ	chu	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	61	164	3	གླིང	glin	gliṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	61	164	3	གླིང	glin	gliṅ	pre_coda_structural_unit	གླི	gli	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	61	210	3	གླིང	glin	gliṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	61	210	3	གླིང	glin	gliṅ	pre_coda_structural_unit	གླི	gli	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	62	26	3	གླིང	glin	gliṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	62	26	3	གླིང	glin	gliṅ	pre_coda_structural_unit	གླི	gli	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	64	130	3	སེང	sen	seṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	64	130	3	སེང	sen	seṅ	pre_coda_structural_unit	སེ	se	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	68	108	3	འབྱུང	byun	byuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	68	108	3	འབྱུང	byun	byuṅ	pre_coda_structural_unit	འབྱུ	byu	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	70	37	3	གང	gan	gaṅ	suffix_coda			token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	role_unresolved	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	none
wts_1_34	71	137	4	སྣང	snan	snaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	71	137	4	སྣང	snan	snaṅ	pre_coda_structural_unit	སྣ	sna	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	71	143	3	འཆང	chan	chaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	71	143	3	འཆང	chan	chaṅ	pre_coda_structural_unit	འཆ	cha	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
