volume	page	line	token_index	tibetan_syllable	old_token	current_token	migration_class	context_excerpt
wts_1_34	328	70	4	མེད	S		former_alignment_requires_review	འྤའི་ཤིང་ཐོགས་མེད་ ཅའ sin thogs med Säla-
wts_1_34	332	113	4	རོབ	T	Täuschung	unicode_latin_token_extent_repaired	འཁལ་རོབ་ ༡5/77// rdzob Täuschung.
wts_1_34	336	53	1	གང	gar	garı	dotless_i_token_merged_correctly	གང་ garı
wts_1_34	336	154	1	གང	gar	garı	dotless_i_token_merged_correctly	གང་ garı
wts_1_34	337	111	2	ག	g	gä	unicode_latin_token_extent_repaired	གང་ག་ gaṅ gä auch gaṅ ga, ganga, gangä der
wts_1_34	337	148	2	གཱ	g	gä	unicode_latin_token_extent_repaired	གང་གཱ་སྐྱེས་ gaṅ gä skyes.
wts_1_34	337	159	2	གང	gar	garı	dotless_i_token_merged_correctly	གང་གང་ gar garı
wts_1_34	337	172	0	བུ	i		former_fragment_or_gloss_alignment_removed	གང་གའི་བུ་ gaṅ gä’i bu Beiname des Kriegsgot-
wts_1_34	337	172	2	གའི	g	gä’i	apostrophe_token_extent_repaired	གང་གའི་བུ་ gaṅ gä’i bu Beiname des Kriegsgot-
wts_1_34	337	172	3	བུ		bu	new_alignment_requires_review	གང་གའི་བུ་ gaṅ gä’i bu Beiname des Kriegsgot-
wts_1_34	338	80	1	གང	gaṅ	gaṅı	dotless_i_token_merged_correctly	གང་དག་ 'gaṅı dag sauber.
wts_1_34	338	135	1	གང	gani	gaṅ	unicode_latin_token_extent_repaired	གང་པོ་འབོད་ gaṅ po ’bod Beiname des Sakra.
wts_1_34	340	91	1	གང	gar	garı	dotless_i_token_merged_correctly	གང་ཟྲག་ garı zag Person, Mensch.
wts_1_34	344	77	4	སྙིགས	M	Müll	unicode_latin_token_extent_repaired	གད་སྙིགས་ gad $577/9$ Müll, Schmutz, Abfall.
wts_1_34	346	47	2	ཡིག	y	yıg	dotless_i_token_merged_correctly	གན་ཡིག་ gan yıg Privatvertrag.
wts_1_34	347	133	3	ཁན	T	Tänzer	unicode_latin_token_extent_repaired	གར་མ།ཁན་ gar mkhan Tänzer, Schauspieler.
