family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
google_tibetan_diacritic_disagreement:gäis:gźis	google_tibetan_diacritic_disagreement	gäis (1)	gźis (1)	1	1	wts_35_51:164:61	"gegeben"" (""Dzam 19,15); mchod gäis phran"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:han:ñan	google_tibetan_diacritic_disagreement	han (1)	ñan (1)	1	1	wts_35_51:164:55	cad na la kha han gton gin — / has kyan khon	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:khros:sñiñ	google_tibetan_diacritic_disagreement	khros (1)	sñiñ (1)	1	1	wts_35_51:890:12	mi mthun khros pa'i sems dan ldan gyur pa	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ldan:gñer	google_tibetan_diacritic_disagreement	ldan (1)	gñer (1)	1	1	wts_35_51:890:12	mi mthun khros pa'i sems dan ldan gyur pa	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:mron:mṅon	google_tibetan_diacritic_disagreement	mron (1)	mṅon (1)	1	1	wts_35_51:90:52	"rnam pa ben drug mron du byas ""ihm wur-"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ra:rṅa	google_tibetan_diacritic_disagreement	ra (1)	rṅa (1)	1	1	wts_35_51:164:26	"rung"" (Padm 29662); rdza ra la sogs brduns"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ra:ṅa	google_tibetan_diacritic_disagreement	ra (1)	ṅa (1)	1	1	wts_35_51:145:63	"artigen Strophen"" (Suv 19,10); ra la skyes"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ru:ṅu	google_tibetan_diacritic_disagreement	ru (1)	ṅu (1)	1	1	wts_35_51:40:71	"chu tshod kyi snod ""dra ba chun ru byas te"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sam:sñam	google_tibetan_diacritic_disagreement	sam (1)	sñam (1)	1	1	wts_35_51:90:20	"sam pa dan ""König Sikhandin dachte: 'Das"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:shan:sñan	google_tibetan_diacritic_disagreement	shan (1)	sñan (1)	1	1	wts_35_51:145:68	bdag cag gis shan ma mthon ba'i mi ~ Zig	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sie:sñe	google_tibetan_diacritic_disagreement	sie (1)	sñe (1)	1	1	wts_35_51:90:49	"weit'"" (Mil 43,19); las 'bras — pa'i sie ma"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sin:sin	google_tibetan_diacritic_disagreement	$in (1)	śin (1)	1	1	wts_35_51:145:19	"sin bal las byas pa $in tu phra ba ""alle Arten"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sin:siṅ	google_tibetan_diacritic_disagreement	sin (1)	śiṅ (1)	1	1	wts_35_51:217:6	(Udr 22,27); sin rta — pa'i phyngs dag gi /	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:tsbon:tshoṅ	google_tibetan_diacritic_disagreement	tsbon (1)	tshoṅ (1)	1	1	wts_35_51:164:24	"tsbon ma de ru Zin phyag 'tshal — (metr.) ""die"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zan:źaṅ	google_tibetan_diacritic_disagreement	Zan (1)	źaṅ (1)	1	1	wts_35_51:217:38	"gen"" (Liyl 18447); Zan po rgya la dmag —pa'i"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zi:źi	google_tibetan_diacritic_disagreement	Zi (1)	źi (1)	1	1	wts_35_51:206:17	1.2.23b); ig rten dban phyug ... Zi Zin zla ba	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zin:źin	google_tibetan_diacritic_disagreement	Zin (1)	źin (1)	1	1	wts_35_51:164:24	"tsbon ma de ru Zin phyag 'tshal — (metr.) ""die"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zin:źiṅ	google_tibetan_diacritic_disagreement	Zin (1)	źiṅ (1)	1	1	wts_35_51:206:17	1.2.23b); ig rten dban phyug ... Zi Zin zla ba	google_unresolved_tibetan_context:1	medium:1	review
guarded_dollar_to_sacute:05s:05s	guarded_dollar_to_sacute	05$ (1)	05ś (1)	1	1	wts_35_51:1071:37	"Lex. 70 snod $/7/05$ (r.smyig?) ma ""Joghurtge-"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:070s:070s	guarded_dollar_to_sacute	070$ (1)	070ś (1)	1	1	wts_35_51:718:25	"(ThK 2: 523,1); gzugs sku — ""tshbo 070$ (r."	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:0s97:0s97	guarded_dollar_to_sacute	0$97 (1)	0ś97 (1)	1	1	wts_35_51:264:2	pa, [/0$97///7 ba la ldein por dgons pa (vgl. Mvy	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:40s:40s	guarded_dollar_to_sacute	40$ (1)	40ś (1)	1	1	wts_35_51:606:36	gnas རོ 40$ pa ran bzin du m gnas pa lta bu	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:50gs:50gs	guarded_dollar_to_sacute	50g$ (1)	50gś (1)	1	1	wts_35_51:303:23	"50g$ ""Butter und Fleisch usw. als Suppenein-"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:70s6:70s6	guarded_dollar_to_sacute	70$6 (1)	70ś6 (1)	1	1	wts_35_51:1082:81	འཕགས་ཡུལ་ ''phags Kurzf. für '/)/?(70$6 pa'	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:70s:70s	guarded_dollar_to_sacute	70$ (1)	70ś (1)	1	1	wts_35_51:520:21	/70$ spyod spans Ryan shon goms kyi dban gis	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:73'09s:73'09s	guarded_dollar_to_sacute	73'09$ (1)	73'09ś (1)	1	1	wts_35_51:1038:49	ཕྱོགས་ '//73'09$	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:7609s:7609s	guarded_dollar_to_sacute	7609$ (1)	7609ś (1)	1	1	wts_35_51:266:35	4/7609$ auch !dog imp. zu [/(779 lecken,	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:9s5:9s5	guarded_dollar_to_sacute	9$5 (1)	9ś5 (1)	1	1	wts_35_51:797:13	po'i dbus su mi 7/9$5 — pa yis / smra ba'i	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s.xvj:s.xvj	guarded_dollar_to_sacute	$.XVJ (1)	Ś.XVJ (1)	1	1	wts_35_51:826:44	= Weide, vgl. Schneider 2012 $.XVJ; auch	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s006:s006	guarded_dollar_to_sacute	$006 (1)	ś006 (1)	1	1	wts_35_51:492:34	ran la sgos su sku 'gag 0079 ... $006 ... gan no	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s00:s00	guarded_dollar_to_sacute	$00 (1)	ś00 (1)	1	1	wts_35_51:1112:35	"$00)/5 dga’ la nam phug ph ""diese Reden"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s011011:s011011	guarded_dollar_to_sacute	$011011 (1)	ś011011 (1)	1	1	wts_35_51:698:39	vgl. $011011 2012: 1456 f., ein Erdherr,	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s01:s01	guarded_dollar_to_sacute	$01 (1)	ś01 (1)	1	1	wts_35_51:160:3	"spro bin du mdun du — go ""er zeigte $01-"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s07707:s07707	guarded_dollar_to_sacute	$07707 (1)	ś07707 (1)	1	1	wts_35_51:434:18	"Schemel bewegt"" (Prav 41,21); nu $07707/ 07 /"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s11111:s11111	guarded_dollar_to_sacute	$11111 (1)	ś11111 (1)	1	1	wts_35_51:854:64	Paar, wird der Sohn Ye-śes $11111-])(), eine In-	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s1:s1	guarded_dollar_to_sacute	$1 (1)	ś1 (1)	1	1	wts_35_51:1029:58	"dhe gu dan (metr.) ""Pulver, Pillen und $1-"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s32:s32	guarded_dollar_to_sacute	$32 (1)	ś32 (1)	1	1	wts_35_51:764:31	"nesen"" (In1 $32); de'' mthus khams kyi royal"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s3:s3	guarded_dollar_to_sacute	$3 (1)	ś3 (1)	1	1	wts_35_51:236:77	རྡོ་རྗེ་རྒྱ་གྲམ་ rdo rje rga gram = $3©6]47©112(61)	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s46:s46	guarded_dollar_to_sacute	$46 (1)	ś46 (1)	1	1	wts_35_51:319:57	"nahm sie ein"" (im $46); dge 'dun tshe 'das"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s47:s47	guarded_dollar_to_sacute	$47 (1)	ś47 (1)	1	1	wts_35_51:754:21	"gebracht, den Tribut zu zahlen"" (im $47);"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s4:s4	guarded_dollar_to_sacute	$4 (1)	ś4 (1)	1	1	wts_35_51:267:11	"man] aus $4 dag, Idon ros und ba bla"" (Hipp"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s51:s51	guarded_dollar_to_sacute	$51 (1)	ś51 (1)	1	1	wts_35_51:754:24	"zahlen"" (Ini $51); stsan dphya' nas dan /"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s62:s62	guarded_dollar_to_sacute	$62 (1)	ś62 (1)	1	1	wts_35_51:434:6	"geflohen war"" (Inl $62); zans rdo bla —"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s706:s706	guarded_dollar_to_sacute	$706 (1)	ś706 (1)	1	1	wts_35_51:291:3	1. ༈$706.	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s76:s76	guarded_dollar_to_sacute	$76 (1)	ś76 (1)	1	1	wts_35_51:737:33	rgyal rtse yon $76/7 {5} du ~ gźis nas 'bru phul	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s7777:s7777	guarded_dollar_to_sacute	$7777 (1)	ś7777 (1)	1	1	wts_35_51:1001:71	"rgyani $7777 pa yin no ""mit der vollkommenen"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s8212:s8212	guarded_dollar_to_sacute	$8212 (1)	ś8212 (1)	1	1	wts_35_51:750:70	"Wa'-tsan-kun führte sie an"" ($8212 4); 'di"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s90:s90	guarded_dollar_to_sacute	$90 (1)	ś90 (1)	1	1	wts_35_51:124:22	(Dagy); 'dan sin = $90 7 phred gtan dan 'khor	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:srt:srt	guarded_dollar_to_sacute	$rT (1)	śrT (1)	1	1	wts_35_51:692:72	(Bu-śz 104,12); — Säkya $rT la sogs pa mikhas	guarded_dollar_scan:1	low:1	defer
loc_nasal_damage:'dpuṅń:'dpuṅṅ	loc_nasal_damage	'dpuṅń (1)	'dpuṅṅ (1)	1	1	wts_35_51:737:37	དཔུང་ 'dpuṅń	orthography_scan:1	medium:1	review
loc_nasal_damage:bcań:bcaṅ	loc_nasal_damage	bcań (1)	bcaṅ (1)	1	1	wts_35_51:409:10	gźug pa'i phyir mchan khug bcań bar bya'o	orthography_scan:1	medium:1	review
loc_nasal_damage:brañń:brañṅ	loc_nasal_damage	brañń (1)	brañṅ (1)	1	1	wts_35_51:711:38	"Lex. ba gam ste pho brañń gi sdins cha ""ba gam:"	orthography_scan:1	medium:1	review
loc_nasal_damage:brań:braṅ	loc_nasal_damage	brań (1)	braṅ (1)	1	1	wts_35_51:817:22	bäugs pa'i pho brań sa ~r ñi Su rtsa geig bäugs	orthography_scan:1	medium:1	review
loc_nasal_damage:brdzañńs:brdzañṅs	loc_nasal_damage	brdzañńs (1)	brdzañṅs (1)	1	1	wts_35_51:817:32	pa gdan dren pa la sa skya pa ~s brdzañńs	orthography_scan:1	medium:1	review
loc_nasal_damage:brkyañń:brkyañṅ	loc_nasal_damage	brkyañń (1)	brkyañṅ (1)	1	1	wts_35_51:462:53	"Nacken schlagen?"" (K6 tha 21877); brkyañń"	orthography_scan:1	medium:1	review
loc_nasal_damage:broń:broṅ	loc_nasal_damage	broń (1)	broṅ (1)	1	1	wts_35_51:2:49	"broń ru ~ cig tu beng ""sie steckte es in das"	orthography_scan:1	low:1	review
loc_nasal_damage:chuñń:chuñṅ	loc_nasal_damage	chuñń (1)	chuñṅ (1)	1	1	wts_35_51:60:31	"Kälte[krankheit]"" (Siddh 5.132); chuñń ma"	orthography_scan:1	medium:1	review
loc_nasal_damage:chuń:chuṅ	loc_nasal_damage	chuń (1)	chuṅ (1)	1	1	wts_35_51:1089:38	phar po und 'phar chuń ñu magisch erzeugt	orthography_scan:1	medium:1	review
loc_nasal_damage:dgoñńs:dgoñṅs	loc_nasal_damage	dgoñńs (1)	dgoñṅs (1)	1	1	wts_35_51:560:30	"geburten gibt es nicht"" (KunK 24,30); dgoñńs"	orthography_scan:1	low:1	review
loc_nasal_damage:dgońs:dgoṅs	loc_nasal_damage	dgońs (1)	dgoṅs (1)	1	1	wts_35_51:446:76	kyi dgońs pa yin kyan don la thob pa gźir	orthography_scan:1	medium:1	review
loc_nasal_damage:duń:duṅ	loc_nasal_damage	duń (1)	duṅ (1)	1	1	wts_35_51:904:14	"duń du rde'n ljañ gu'am / ser po ... blugs ""in"	orthography_scan:1	medium:1	review
loc_nasal_damage:gañń:gañṅ	loc_nasal_damage	gañń (1)	gañṅ (1)	1	1	wts_35_51:1066:61	kbyad par du chos gañń la gaṅ gi bka' babs dan	orthography_scan:1	medium:1	review
loc_nasal_damage:gnañń:gnañṅ	loc_nasal_damage	gnañń (1)	gnañṅ (1)	1	1	wts_35_51:763:4	ci thabs kyis kyan myi ~ myi bźes par gnañń	orthography_scan:1	medium:1	review
loc_nasal_damage:gsań:gsaṅ	loc_nasal_damage	gsań (1)	gsaṅ (1)	1	1	wts_35_51:173:50	gsań snags ... log rtog gi dri ma mtha dag	orthography_scan:1	medium:1	review
loc_nasal_damage:gsuñń:gsuñṅ	loc_nasal_damage	gsuñń (1)	gsuñṅ (1)	1	1	wts_35_51:68:16	bka' mchid dam pa ~ gsuñń du gsol (metr.)	orthography_scan:1	low:1	review
loc_nasal_damage:gsuṅń:gsuṅṅ	loc_nasal_damage	gsuṅń (1)	gsuṅṅ (1)	1	1	wts_35_51:689:69	པདྨ་གསུང་ padma gsuṅń cine Mahāyoga-Praxis Ir. -NI'i Hana	orthography_scan:1	medium:1	review
loc_nasal_damage:guñń:guñṅ	loc_nasal_damage	guñń (1)	guñṅ (1)	1	1	wts_35_51:1085:45	"lde bla guñń rgyal ni ti tse ganis rum du ""phanste"	orthography_scan:1	medium:1	review
loc_nasal_damage:gzuń:gzuṅ	loc_nasal_damage	gZuń (1)	gZuṅ (1)	1	1	wts_35_51:197:32	"འདོདབློ་ dodblo Wunsch gZuń ma rñed pas ""da ich keinen Text gefun-"	orthography_scan:1	medium:1	review
loc_nasal_damage:khañń:khañṅ	loc_nasal_damage	khañń (1)	khañṅ (1)	1	1	wts_35_51:389:12	rgyal mo daṅ / slas dan / ~ ma mchis pa'i khañń	orthography_scan:1	medium:1	review
loc_nasal_damage:kyañń:kyañṅ	loc_nasal_damage	kyañń (1)	kyañṅ (1)	1	1	wts_35_51:967:16	'tshol na / dud de ni pyag kyañń 'tshal (metr.)	orthography_scan:1	medium:1	review
loc_nasal_damage:kyań:kyaṅ	loc_nasal_damage	kyań (1)	kyaṅ (1)	1	1	wts_35_51:555:39	chos klon chen po mtshoms bźed skad cig kyań	orthography_scan:1	medium:1	review
loc_nasal_damage:l'spoñń:l'spoñṅ	loc_nasal_damage	l'spoñń (1)	l'spoñṅ (1)	1	1	wts_35_51:771:39	སྤངས་ 'spaṅs pf. zu l'spoñń.	orthography_scan:1	medium:1	review
loc_nasal_damage:loñń:loñṅ	loc_nasal_damage	loñń (1)	loñṅ (1)	1	1	wts_35_51:1084:7	"ihn töten"" (PT1287 511); pho loñń ... thag gus"	orthography_scan:1	medium:1	review
loc_nasal_damage:luñń:luñṅ	loc_nasal_damage	luñń (1)	luñṅ (1)	1	1	wts_35_51:1007:72	"50,13); ~ zlog pa'i luñń rig mtshon cha dan ""die"	orthography_scan:1	medium:1	review
loc_nasal_damage:mtshañń:mtshañṅ	loc_nasal_damage	mtshañń (1)	mtshañṅ (1)	1	1	wts_35_51:1101:12	"Lex. tshanis ra (r. mtshañń ra) ""Gesäß"" (Dagy);"	orthography_scan:1	medium:1	review
loc_nasal_damage:phuń:phuṅ	loc_nasal_damage	phuń (1)	phuṅ (1)	1	1	wts_35_51:1095:24	"phuń ~ ba ñid du bya (metr.) ""wenn sie sich"	orthography_scan:1	medium:1	review
loc_nasal_damage:rkañń:rkañṅ	loc_nasal_damage	rkañń (1)	rkañṅ (1)	1	1	wts_35_51:1115:14	Lex. phras te ñal, ~ te ñal 2 rkañń lag brkyans	orthography_scan:1	medium:1	review
loc_nasal_damage:rñińn:rñiṅn	loc_nasal_damage	rñińn (1)	rñiṅn (1)	1	1	wts_35_51:630:83	"rgya'i yig rñińn dag na ~ ""es steht in alten"	orthography_scan:1	medium:1	review
loc_nasal_damage:sańghata:saṅghata	loc_nasal_damage	sańghāta (1)	saṅghāta (1)	1	1	wts_35_51:321:38	"Lex. sańghāta (Ak 60.13); tsha dmyal Zig ""ei-"	orthography_scan:1	medium:1	review
loc_nasal_damage:spañń:spañṅ	loc_nasal_damage	spañń (1)	spañṅ (1)	1	1	wts_35_51:719:64	(Tär I 37,19); spañń po (r. ~ po) mdzod cig Jg	orthography_scan:1	medium:1	review
loc_nasal_damage:thuñń:thuñṅ	loc_nasal_damage	thuñń (1)	thuñṅ (1)	1	1	wts_35_51:224:55	"Lex. mjal rdum = mjal ba thuñń thun tsam ""so-"	orthography_scan:1	medium:1	review
loc_nasal_damage:tshañń:tshañṅ	loc_nasal_damage	tshañń (1)	tshañṅ (1)	1	1	wts_35_51:263:7	"ender"" (Gar 208,2); khyim la ~ su / tshañń"	orthography_scan:1	medium:1	review
loc_nasal_damage:yañń:yañṅ	loc_nasal_damage	yañń (1)	yañṅ (1)	1	1	wts_35_51:637:27	"gdul bya'i ~ ltar yañń rje mi la'i thugs sras ""[er"	orthography_scan:1	medium:1	review
loc_nasal_damage:ñañń:ñañṅ	loc_nasal_damage	ñañń (1)	ñañṅ (1)	1	1	wts_35_51:125:22	"Lex. ñañń ser ram ńur ba'i min ""Bez. für gelbe"	orthography_scan:1	medium:1	review
loc_nasal_damage:ñuñń:ñuñṅ	loc_nasal_damage	ñuñń (1)	ñuñṅ (1)	1	1	wts_35_51:359:35	"pas / ~ ba ñuñń Zin ""weil er sie von Krankhei-"	orthography_scan:1	medium:1	review
loc_nasal_damage:ńur:ṅur	loc_nasal_damage	ńur (1)	ṅur (1)	1	1	wts_35_51:125:22	"Lex. ñañń ser ram ńur ba'i min ""Bez. für gelbe"	orthography_scan:1	medium:1	review
unknown:g71-sn:gzi-sn	unknown	g71-Sn (1)	gZi-Sn (1)	1	1	wts_35_51:140:34	"ins Dasein"" (g71-Sn 66,24); de Itar 'gyur nas"			siglum_policy_review
unknown:isk:1sk	unknown	ISK (1)	1SK (1)	1	1	wts_35_51:14:75	"gen basierte"" (ISK 1: 214,3,1); — ma rdzogs"			siglum_policy_review
unknown:liy1:liyl	unknown	Liy1 (1)	Liyl (1)	1	1	wts_35_51:145:70	"nie gesehen haben, ist gekommen"" (Liyl"			siglum_policy_review
unknown:lokessvara:lokessvara	unknown	Lokes$vara (1)	Lokesśvara (1)	1	1	wts_35_51:206:18	"dan — la (metr.) ""Lokes$vara ist friedvoll und"			siglum_policy_review
